# BTC-GEO Copyright Bittrex Inc. 2017

[TimeStamp], [Open], [Close], [High], [Low], [Volume], [BaseVolume]
2/21/2015 4:16:00 AM,0.00017800,0.00017800,0.00017800,0.00017800,498.75000000,0.08877750
2/21/2015 4:29:00 AM,0.00015000,0.00015000,0.00015000,0.00015000,500.00000000,0.07500000
2/21/2015 4:30:00 AM,0.00015000,0.00015000,0.00015000,0.00015000,53.20000000,0.00798000
2/21/2015 5:16:00 AM,0.00018500,0.00018500,0.00018500,0.00018500,750.00000000,0.13875000
2/21/2015 5:38:00 AM,0.00019000,0.00019000,0.00019000,0.00019000,10.00000000,0.00190000
2/21/2015 5:39:00 AM,0.00018900,0.00018900,0.00018900,0.00018900,498.75000000,0.09426375
2/21/2015 6:34:00 AM,0.00018600,0.00018600,0.00018600,0.00018600,1000.00000000,0.18600000
2/21/2015 7:13:00 AM,0.00018700,0.00018700,0.00018700,0.00018700,985.34500000,0.18425951
2/21/2015 7:14:00 AM,0.00019000,0.00019000,0.00019000,0.00019000,5.00000000,0.00095000
2/21/2015 7:30:00 AM,0.00018990,0.00018990,0.00018990,0.00018990,418.95000000,0.07955860
2/21/2015 7:32:00 AM,0.00016000,0.00016000,0.00016000,0.00016000,4867.23000000,0.77875680
2/21/2015 7:33:00 AM,0.00019000,0.00019000,0.00019000,0.00019000,8.00000000,0.00152000
2/21/2015 7:39:00 AM,0.00015008,0.00015008,0.00015008,0.00015008,58.99080500,0.00885333
2/21/2015 7:50:00 AM,0.00016000,0.00016000,0.00016000,0.00016000,10.00000000,0.00160000
2/21/2015 7:56:00 AM,0.00016000,0.00016000,0.00016000,0.00016000,10.00000000,0.00160000
2/21/2015 8:01:00 AM,0.00016999,0.00016999,0.00016999,0.00016999,9.00000000,0.00152991
2/21/2015 8:03:00 AM,0.00016998,0.00018000,0.00018000,0.00016998,1482.99964570,0.26687906
2/21/2015 8:04:00 AM,0.00016000,0.00016000,0.00016000,0.00016000,230.00000000,0.03680000
2/21/2015 8:05:00 AM,0.00018500,0.00018500,0.00018500,0.00018500,15.23398176,0.00281828
2/21/2015 8:29:00 AM,0.00018500,0.00018500,0.00018500,0.00018500,1314.01226367,0.24309226
2/21/2015 8:32:00 AM,0.00015015,0.00015014,0.00015015,0.00015014,7.34832382,0.00110330
2/21/2015 8:36:00 AM,0.00018420,0.00018420,0.00018420,0.00018420,3226.74568000,0.59436655
2/21/2015 8:37:00 AM,0.00018998,0.00018998,0.00018998,0.00018998,12.30078420,0.00233690
2/21/2015 8:55:00 AM,0.00018999,0.00018999,0.00018999,0.00018999,172.23101949,0.03272217
2/21/2015 8:57:00 AM,0.00016011,0.00016011,0.00016011,0.00016011,8.55882930,0.00137035
2/21/2015 9:10:00 AM,0.00016000,0.00016000,0.00016000,0.00016000,100.00000000,0.01600000
2/21/2015 9:12:00 AM,0.00016000,0.00018999,0.00018999,0.00016000,212.51216509,0.03689235
2/21/2015 10:06:00 AM,0.00018981,0.00019490,0.00019490,0.00018981,5000.00000000,0.97330643
2/21/2015 10:11:00 AM,0.00019490,0.00019490,0.00019490,0.00019490,1045.47601385,0.20376327
2/21/2015 10:34:00 AM,0.00019000,0.00019000,0.00019000,0.00019000,500.00000000,0.09500000
2/21/2015 10:36:00 AM,0.00017004,0.00017004,0.00017004,0.00017004,3.15374107,0.00053626
2/21/2015 10:37:00 AM,0.00017003,0.00017003,0.00017003,0.00017003,105.95199963,0.01801501
2/21/2015 10:45:00 AM,0.00019400,0.00019487,0.00019487,0.00019400,506.77099338,0.09831684
2/21/2015 10:46:00 AM,0.00019487,0.00019488,0.00019488,0.00019487,30.00000000,0.00584638
2/21/2015 10:58:00 AM,0.00017009,0.00016001,0.00017009,0.00016001,333.01500000,0.05332400
2/21/2015 11:10:00 AM,0.00019396,0.00019500,0.00019500,0.00019396,1500.00000000,0.29222887
2/21/2015 11:18:00 AM,0.00019500,0.00025999,0.00025999,0.00019500,661.59926184,0.14325623
2/21/2015 11:21:00 AM,0.00025998,0.00025998,0.00025998,0.00025998,11.87810661,0.00308806
2/21/2015 11:22:00 AM,0.00023999,0.00023999,0.00023999,0.00023999,260.33341233,0.06247741
2/21/2015 11:29:00 AM,0.00025999,0.00025999,0.00025999,0.00025999,20.00000000,0.00519980
2/21/2015 11:31:00 AM,0.00018614,0.00018614,0.00018614,0.00018614,5.78268417,0.00107638
2/21/2015 11:51:00 AM,0.00025897,0.00025897,0.00025897,0.00025897,256.37348496,0.06639303
2/21/2015 11:57:00 AM,0.00018624,0.00018624,0.00018624,0.00018624,13.45433863,0.00250573
2/21/2015 12:21:00 PM,0.00023000,0.00023000,0.00023000,0.00023000,149.93955946,0.03448609
2/21/2015 12:22:00 PM,0.00019000,0.00019000,0.00019000,0.00019000,109.94287500,0.02088914
2/21/2015 12:24:00 PM,0.00022999,0.00022999,0.00022999,0.00022999,9.10192279,0.00209334
2/21/2015 12:26:00 PM,0.00023000,0.00025000,0.00025000,0.00023000,265.30474388,0.06140778
2/21/2015 12:31:00 PM,0.00025000,0.00025000,0.00025000,0.00025000,526.25127450,0.13156281
2/21/2015 12:32:00 PM,0.00025000,0.00025000,0.00025000,0.00025000,10.00000000,0.00250000
2/21/2015 12:34:00 PM,0.00024995,0.00025500,0.00025500,0.00024995,389.60203078,0.09836121
2/21/2015 12:37:00 PM,0.00025499,0.00025499,0.00025499,0.00025499,2.07636924,0.00052945
2/21/2015 12:38:00 PM,0.00025500,0.00025500,0.00025500,0.00025500,113.76003428,0.02900880
